N,wide_area,wide_relative_error,narrow_area,narrow_relative_error,large_area,large_relative_error
89100,0.929697,0.0156908,0.784478,0.16944,0.920595,0.0253276
89600,0.943996,0.000552293,0.785268,0.168604,0.941406,0.00329368
90100,0.94505,0.000564054,0.782952,0.171056,0.960322,0.0167331
90600,0.933775,0.0113734,0.786181,0.167637,0.959437,0.0157963
91100,0.934182,0.0109421,0.782426,0.171613,0.93551,0.00953583
91600,0.931441,0.0138443,0.785338,0.168529,0.964247,0.0208885
92100,0.948762,0.00449439,0.785147,0.168732,0.932682,0.0125305
92600,0.938391,0.00648613,0.784698,0.169208,0.943035,0.00156972
93100,0.932288,0.0129477,0.784737,0.169166,0.938238,0.00664756
93600,0.955577,0.0117094,0.787521,0.166218,0.918269,0.0277898
94100,0.947152,0.00278955,0.784145,0.169793,0.93491,0.0101719
94600,0.938816,0.00603601,0.784271,0.16966,0.908298,0.0383467
95100,0.946088,0.00166343,0.783933,0.170018,0.933228,0.0119521
95600,0.953661,0.00968103,0.785251,0.168622,0.954759,0.0108439
96100,0.928658,0.0167912,0.783788,0.170171,0.941467,0.00322913
96600,0.939596,0.00520998,0.784596,0.169315,0.941253,0.00345637
97100,0.95552,0.0116492,0.781905,0.172164,0.984295,0.042114
97600,0.93541,0.00964233,0.784826,0.169072,0.949027,0.00477435
98100,0.943853,0.000702978,0.78685,0.166929,0.940877,0.00385438
98600,0.946187,0.00176749,0.784219,0.169714,0.940669,0.00407384
99100,0.937235,0.00770983,0.784198,0.169737,0.924571,0.0211177
99600,0.943283,0.00130654,0.786124,0.167697,0.936496,0.00849238
